iso3,country.x,nri_rank,nri_score,p1_technology,p2_people,p3_governance,p4_impact,p1.1_access,p1.2_content,p1.3_future_tech,p2.1_ind,p2.2_biz,p2.3_gov,p3.1_trust,p3.2_regulation,p3.3_inclusion,p4.1_economy,p4.2_qlife,p4.3_SDG,country.y,mobile_tariffs,handset_prices,internet_access,4g mobile_network_coverage,fixed_broadband_subscriptions,international_internet_bandwidth,internet_access_in_schools,github_commits,wikipedia_edits,internet_domain_registrations,mobile_apps_development,adoption_of_emerging_technologies,investment_in_emerging_technologies,ict_pct_patent_applications,computer_software_spending,robot_density,internet_users,active_mobile_broadband_subscriptions,use_of_virtual_social_networks,tertiary_enrollment,adult_literacy_rate,ict_skills,firms_with_website,ease_of_doing_business,professionals,technicians_and_associate_professionals,business_use_of_digital_tools,r&d_expenditure_by_businesses,government_online_services,publication_and_use_of_open_data,government_promotion_of_investment_in_emerging_technologies,r&d_expenditure_by_governments_and_higher_education,secure_internet_servers,cybersecurity,online_access_to_financial_account,internet_shopping,regulatory_quality,ict_regulatory_environment,legal_framework's_adaptability_to_emerging_technologies,e_commerce_legislation,privacy_protection_by_law_content,e_participation,socioeconomic_gap_in_use_of_digital_payments,availability_of_local_online_content,gender_gap_in_internet_use,rural_gap_in_use_of_digital_payments,medium_and_high_tech_industry,high_tech_exports,pct_patent_applications,labor_productivity_per_employee,prevalence_of_gig_economy,happiness,freedom_to_make_life_choices,income_inequality,healthy_life_expectancy_at_birth,sdg_3:_good_health_and_well_being,sdg_4:_quality_education,sdg_5:_gender_equality,sdg_7:_affordable_and_clean_energy,sdg_11:_sustainable_cities_and_communities
SWE,Sweden,1,82.7505857781542,83.8171286647356,78.0665608509047,88.8847240495027,80.2339295474738,86.5938292733477,81.6577201121291,83.1998366087299,71.5416106352171,82.1558745410137,80.5021973764832,88.2218293849685,92.9900309265456,85.4423118369939,65.6997714039118,91.0715743719502,83.9304428665593,Sweden,92.49826729,70.47651752,94.71559274,100,92.12279359,69.7498045,NA,84.98413249,93.44559505,NA,88.65730422,96.31220756,91.97466394,100,54.78686392,72.92544762,92.25589297,48.38669433,73.19587629,48.72956132,NA,95.14002827,93.04799208,91.55626623,72.42205348,79.53360949,96.35932511,60.01600086,89.69709458,69.84,71.70693026,90.76476467,81.01624631,86.89057421,93.08433852,91.89615849,91.05837525,90.3509788,84.19112575,100,99.34967484,81.47879291,97.28035595,100,72.4747726,75.97763773,67.74110697,27.60756968,91.27210627,69.50623665,72.37183745,92.48538916,96.29686515,88.1443299,87.35971329,95.08196721,66.57596032,79.23706137,78.75722543,100
DNK,Denmark,2,82.1916377892352,79.7098122781516,80.8076339971657,89.7974183224739,78.4516865591497,86.7295261564844,82.4798407469362,69.9200699310342,73.8971847668376,79.3620686224203,89.1636486022392,97.1700979943044,88.6122565608241,83.6099004122934,58.0461786232863,92.9916247133379,84.317256340825,Denmark,77.32518259,67.48643375,96.99249527,100,93.95410575,71.34846573,100,71.75627277,82.34425406,NA,92.34573164,84.21625695,76.90644181,63.12201275,54.50443217,70.85120597,97.92912929,53.94550594,71.13402062,58.7663204,NA,87.71094759,98.00933637,97.38875972,67.42898589,77.57818835,85.44009509,50.32704631,96.97094581,70.52,NA,100,100,91.44095341,97.23943856,100,88.35000314,88.81037878,NA,100,77.28864432,96.29783262,99.78924961,79.0787085,66.35741815,76.52629318,69.29497881,26.3187681,63.69317745,72.87779013,NA,98.28292399,100,88.40206186,85.28151301,86.8852459,69.20865103,78.77982392,91.97976879,94.73279207
SGP,Singapore,3,81.3868990300567,76.1644025549075,77.8573371225081,83.3534477186879,88.1724087241232,89.7109560098286,64.3645600142951,74.4176916405987,79.3820387499739,72.0225970394136,82.1673755781368,77.1031018380246,84.3318940939899,88.6253472240492,84.7085202268182,89.38191906516,90.4267868803914,Singapore,93.63146744,64.60608582,97.72767634,100,95.89932886,86.4011776,NA,56.61594975,77.66236611,NA,100,88.53649286,78.59932658,79.45304581,25.49959296,100,88.15654777,57.60284272,79.3814433,61.84256896,96.614222,92.69460775,NA,98.99775882,49.43973237,94.76055844,83.57231525,33.34262031,96.36307439,52.69,100,79.61642793,93.48449629,96.42470206,56.92109068,61.58211833,98.36050847,93.24684351,86.75547017,100,43.29664832,97.53188842,90.74148473,91.63270758,64.36178125,98.85887414,100,98.01398776,42.87262384,97.14033544,85.5156541,72.43883711,95.70692008,NA,100,95.08196721,91.59354062,81.37203241,93.13583815,90.950556
NLD,Netherlands,4,81.3715448620688,83.8146273105733,73.4507102838154,89.4724680102507,78.7483738436358,86.8585218162528,91.7921097030348,72.7932504124321,70.0110333378874,73.681675513355,76.6594220002039,93.7805162613031,88.2306853764357,86.4062023930133,63.7888668442285,88.7163444518713,83.7399102348074,Netherlands,77.98742852,62.70999825,96.14333144,99,98.81427858,73.35461593,100,79.07426483,93.02092601,NA,95.07324797,100,87.95055307,66.61983036,55.70544802,53.69042061,94.90600226,35.31109048,63.91752577,61.98069078,NA,93.93985739,95.65227971,81.14061786,65.6911941,70.949657,99.2068004,29.449504,90.304966,74.95,66.87075322,74.51196878,93.98254087,95.01625135,89.00893237,97.11434045,95.86456611,94.98436233,82.04536888,100,68.25912956,96.29783262,96.62499048,97.08968438,66.16450278,75.85400169,62.41171183,42.97270049,51.84776197,67.086628,94.62553193,93.01963016,86.79875286,88.91752577,86.12946901,95.08196721,72.90105239,74.10011354,82.94797688,93.66844116
CHE,Switzerland,5,80.4142349447152,85.6707150546022,70.0184750941703,85.0379020134879,80.9298476166006,90.3462550513446,93.453971191376,73.2119189210859,62.4078240199284,76.781184593866,70.8664166687164,78.5240589865351,92.8323930415985,83.7572540123299,67.5856022225717,89.6871137724026,85.5168268548276,Switzerland,93.91711888,82.76877532,88.54079671,99,97.05063291,71.14646154,100,100,83.14112901,NA,90.67475576,93.09371831,89.43152449,72.80714379,67.41019618,43.31701184,89.72421321,38.31118945,51.54639175,43.26091966,NA,89.19640602,95.48038804,82.05145351,64.46087501,73.9759353,83.54609884,61.17235685,82.42324335,57.46,57.54520826,86.03721506,91.52301001,84.50704225,66.22795114,71.83823254,90.62637956,95.56353527,85.13965733,100,NA,90.12755367,95.67154971,95.33919837,62.11730195,75.53066636,82.58636189,24.57497607,89.42213073,75.25532466,66.08921776,98.30686509,91.48205209,78.09278351,90.86675441,90.16393443,71.4303908,73.02033349,95.95375723,97.01571833
FIN,Finland,6,80.1567157948562,78.2394633303733,78.1908064744508,88.6097241217337,75.5868692528669,86.5468903701151,74.6403888625419,73.5311107584628,75.0030306342463,78.8382880169784,80.7311007721276,87.8056897206342,93.6008602486412,84.4226223959258,54.7580929343764,93.4631872006168,78.5393276236076,Finland,82.27226068,70.35627209,88.91745211,99.9,93.2642487,71.11799902,100,83.27460276,92.98202656,NA,84.78913626,96.95385659,87.87167024,92.91332952,48.39396678,41.52273066,88.90333433,61.96773707,59.79381443,64.35026734,NA,100,100,88.34865221,63.91837017,83.80257304,90.98501326,45.97511943,96.97094581,55.89,83.43327597,86.63018132,87.4792513,91.87432286,93.95375138,77.91543334,90.76157644,93.82601645,100,100,83.41670835,95.06377683,98.63536556,89.98673321,61.695507310000004,76.73172906,52.81880057,16.91988348,70.75744222,65.14457192,68.14976649,100,97.3331642,91.75257732,84.76700728,81.96721311,68.42116796,81.93507389,63.80057803,96.57260513
NOR,Norway,7,79.3866871888522,75.2276546735087,73.8790424150962,91.3020127534581,77.1380389133458,89.3884049519381,86.2789510567404,50.015608011847704,69.9392444092271,67.3843901600479,84.3134926760135,94.1308880834128,95.942668771361,83.8324814056006,51.7943446394155,93.485151250253,86.1346208503689,Norway,97.99677693,67.36699491,95.98907558,99.9,92.53112485,71.93486239,100,93.70169579,100,NA,87.20558942,NA,73.54755517,59.31068061,50.7363196,16.46787667,96.74077464,38.92569353,70.10309278,59.77997726,NA,84.14668383,79.78538781,92.68090626,67.10851577,68.74087711,NA,28.60626385,87.27591181,73.81,NA,91.85456622,83.75424428,95.77464789,100,96.99466016,90.14257411,97.88022704,NA,100,95.74787394,90.12755367,100,84.00647809,68.5289215,76.49945378,50.80261975,40.22880011,37.86673399,78.2792247,NA,93.35129042,98.42487916,92.78350515,89.38093027,96.72131148,66.04124351,82.14424856,86.41618497,99.35011574
USA,United States,8,78.9144116597484,82.8777618154357,74.5923627682069,86.227264566725,71.9602574886258,81.5860038542174,78.4239035452931,88.6233780467966,72.6288759824878,72.8819064663832,78.2663058557497,91.943770114056,79.9709637076148,86.7670598785043,65.6676663499926,72.9315594392618,77.2815466766231,United States,60.72122921,85.01525728,83.79749957,99.8,87.48744279,72.69459428,NA,71.5369301,72.46821948,NA,94.51404772,99.75292724,100,79.29944573,100,64.06451727,87.22912873,56.29161862,70.10309278,64.3278485,NA,85.19269128,73.54678604,95.10339156,54.96741024,61.59642317,100,52.0774278,94.54976303,81.62,78.85710318,58.03835721,93.58373489,99.45828819,84.40379442,90.32926296,86.16817239,89.77180586,88.09693133,100,35.81790895,100,79.64333148,93.52291851,NA,73.90198952,61.01194298,36.17662552,46.46364519,84.68611805,100,83.55267551,78.3993913,55.67010309,74.10406785,91.80327869,57.50963858,82.48483754,73.04913295,81.56084563
DEU,Germany,9,77.4833883662009,79.1783488816374,70.5410071493611,83.5244038169365,76.6897936168687,82.0022197154434,77.1351588969602,78.3976680325085,58.8319840160776,77.3182309419991,75.4728064900065,84.4807122133744,89.011582080082,77.080917157353,64.0902824651051,84.1437663622094,81.8353320232916,Germany,90.26006182,58.02522622,89.87095262,97.5,88.06219255,68.29488508,NA,58.66437493,85.61537026,NA,85.61858952,85.47828665,86.84905696,71.71974112,47.94125544,100,89.77882938,31.53754488,44.32989691,51.12935616,NA,77.38429275,91.38358594,87.52021775,43.81954004,100,87.65805704,53.52798489,72.72820936,69.52,73.72382372,85.91919288,89.87690685,91.11592633,71.20292283,85.72709285,89.94012407,95.56353527,77.61328057,100,81.94097049,74.07445816,96.11748342,84.38885532,55.62830375,75.19548514,78.57968409,31.0168667,64.45632417,64.33199305,82.06654432,85.35677006,86.65592082,80.15463918,84.407735400000007,90.16393443,65.69575639,74.59257841,85.33236994,93.39202095
GBR,United Kingdom,10,76.2679343433242,78.3417564956841,69.6852115775995,82.6497379643502,74.3950313356629,90.3754895414367,80.8839824807441,63.7657974648716,63.1986842918849,68.8745020351849,76.9824484057287,83.8545219707634,78.7221139884728,85.3725779338145,56.6387554816724,81.8856940751973,84.6606444501191,United Kingdom,89.20582333,80.11912738,93.97356971,99.7,98.0355682,81.21884862,NA,69.26154775,84.05951863,NA,88.41003035,84.23469733,82.42711929,62.27810898,62.95402684,26.93503488,95.09639719,37.7573111,65.97938144,43.57951163,NA,73.5808201,86.34967356,94.31263733,64.21515658,53.06638613,86.57267084,28.73048777,95.75520297,100,66.69322198,45.48136868,83.71190869,100,55.84188399,95.86429521,90.21797173,97.30105409,74.30064867,100,31.79089545,97.53188842,94.20701347,90.87438608,68.18916909,76.06043261,58.00693463,44.36924401,25.87622278,61.13677603,93.80459995,87.74880905,81.43968182,72.68041237,85.67387306,96.72131148,66.34395915,74.14408323,90.02890173,96.06496667
LUX,Luxembourg,11,75.2707306586042,79.2782556803542,68.3505362360916,82.0644968921432,71.3896338258278,92.3496100333528,81.2819364211309,64.203220586579,58.4724561504716,72.0149957835374,74.5641567742659,77.9410558456116,89.8257802225559,78.4266546082619,46.1206021094293,86.8033281028336,81.2449712652204,Luxembourg,97.80767645,82.46247172,92.96661145,97,83.86090058,100,NA,57.99438521,87.13505205,NA,90.20731599,92.17887672,79.57832818,69.56929331,15.48638414,NA,97.32808094,36.59153278,63.91752577,13.4983553,NA,81.02678595,86.10915293,69.64078707,100,69.54697876,89.47276527,17.32029067,75.75726355,NA,95.30017132,52.63503545,84.52920947,95.12459372,66.56017004,65.55025016,90.11539192,83.40090351,90.97028452,100,84.64232116,69.13823499,97.25701619,86.49797902,62.98727724,76.25276561,27.91832541,13.20894957,36.61535835,100,52.86037722,92.60182317,94.39563723,72.42268041,87.7931716,90.16393443,59.45365019,75.34037009,90.75144509,90.51545653
AUS,Australia,12,75.0917012882486,70.3820803870826,71.9131576268206,86.7666324583097,71.3049346807815,88.8392141207852,72.8137593072228,49.4932677332397,74.0809992734857,65.2140269731628,76.4444466338133,86.4045510702698,90.3210819635066,83.5742643411527,46.8600320392801,86.1163262195519,80.9384457835124,Australia,80.25284238,94.03649129,86.07685704,99,92.8,69.70830813,100,61.22083947,78.42002543,NA,87.44262435,82.33094546,65.76429672,54.66639031,22.7859796,21.91872657,86.48570327,54.04740663,71.13402062,82.72158172,NA,76.01628413,78.7943231,90.18263592,53.65839217,55.88007101,86.56311582,26.20562382,94.54976303,81.15,51.41529091,78.66273259,83.87243311,95.55796316,79.3730596,86.8147484,93.90533904,96.72188115,70.65710766,100,NA,96.29783262,96.86033574,93.01010575,64.91356809,66.7894795,34.37780917,31.6613241,20.92542869,65.17396622,82.16163202,89.25945162,92.22430477,73.71134021,89.27020828,96.72131148,62.43477943,76.97595962,74.56647399,93.9937044
CAN,Canada,13,74.9203527261011,73.5931788122118,68.7140507979508,85.8460146215483,71.5281666726935,81.5654720330471,73.7362575177357,65.4778068858525,63.0819005759631,64.1798601990327,78.8803916188565,87.2360442626153,80.5656430294267,89.736356572603,48.1923340473091,85.800472312732,80.5916936580395,Canada,72.45133053,69.65815065,91.21208198,99,86.68742573,70.38384331,NA,70.30107293,78.22741465,NA,85.62791324,85.04085675,68.25103336,63.1645874,60.07538294,50.85717399,91.07881046,29.56936092,67.01030928,50.15413685,NA,77.59688536,80.10620736,87.39707591,45.29508415,72.79987727,78.83776377,20.64315273,83.63898619,89.54,74.42938369,67.91319659,83.69222628,95.77464789,81.52931156,87.94799133,88.09104362,86.29676821,77.69002813,100,50.75037519,93.82972104,99.49029706,88.53115534,NA,77.09425285,38.92384744,31.62175555,22.67747896,61.66692425,86.07166405,86.80372591,91.20332255,75.25773196,89.93710883,100,70.19199186,81.67901352,56.93641618,94.15104672
KOR,"Korea, Rep.",14,74.5987574276175,65.0247647781398,79.6003054473218,81.4402054907272,72.3297539942811,84.4857342638201,40.9027246652857,69.6858354053137,74.4722235832654,79.4189729868281,84.9097197718719,84.1245790992239,79.5775158547531,80.6185215182046,70.458717416498,72.4305034868027,74.1000410795427,"Korea, Rep.",60.64894127,63.15641648,99.47675282,99.9,100,68.21802927,100,13.49523057,56.57788268,NA,83.39984834,75.39701296,59.48049246,92.84975527,20.70191633,100,96.12900751,44.56244636,87.62886598,68.88106668,NA,75.15973139,64.94407594,95.11073301,49.426657,75.42507726,99.20054573,92.40674899,100,81.16,77.74695123,80.73192785,67.19936102,93.71614301,82.64261809,92.94019427,75.52943336,81.86030349,67.46132416,100,73.03651826,100,93.01092152,80.99942799,62.41530021,66.66695787,81.41774753,61.33008128,85.11318315,52.66444396,71.76813116,63.09031313,56.30160902,80.92783505,89.40225675,95.08196721,75.41783575,62.94613735,63.36705202,73.68721305
