country,year,iso3c,region,income,pop,gdp,gini,itnet_pop,high_tech,poverty,unemployement,gdpPercap
Andorra,1976,AND,Europe & Central Asia,High income,31777,227281024.6,NA,NA,NA,NA,NA,7152.375134
Andorra,1974,AND,Europe & Central Asia,High income,29520,186558696.3,NA,NA,NA,NA,NA,6319.739034
Andorra,1975,AND,Europe & Central Asia,High income,30705,220127246.4,NA,NA,NA,NA,NA,7169.101006
Andorra,1971,AND,Europe & Central Asia,High income,25559,89409820.36,NA,NA,NA,NA,NA,3498.173652
Andorra,1973,AND,Europe & Central Asia,High income,28232,150820102.8,NA,NA,NA,NA,NA,5342.16856
Andorra,1987,AND,Europe & Central Asia,High income,48455,611316399.4,NA,NA,NA,NA,NA,12616.16757
Andorra,1988,AND,Europe & Central Asia,High income,50434,721425939.2,NA,NA,NA,NA,NA,14304.35696
Andorra,1972,AND,Europe & Central Asia,High income,26892,113408231.9,NA,NA,NA,NA,NA,4217.173581
Andorra,1977,AND,Europe & Central Asia,High income,32771,254020153.3,NA,NA,NA,NA,NA,7751.370216
Andorra,1978,AND,Europe & Central Asia,High income,33737,308008897.6,NA,NA,NA,NA,NA,9129.706185
Andorra,1979,AND,Europe & Central Asia,High income,34818,411578334.2,NA,NA,NA,NA,NA,11820.84939
Andorra,1989,AND,Europe & Central Asia,High income,52448,795449332.4,NA,NA,NA,NA,NA,15166.43785
Andorra,1981,AND,Europe & Central Asia,High income,37500,388958731.3,NA,NA,NA,NA,NA,10372.23283
Andorra,1982,AND,Europe & Central Asia,High income,39114,375895956.4,NA,NA,NA,NA,NA,9610.266308
Andorra,1983,AND,Europe & Central Asia,High income,40867,327861832.9,NA,NA,NA,NA,NA,8022.654781
Andorra,1984,AND,Europe & Central Asia,High income,42706,330070689.3,NA,NA,NA,NA,NA,7728.906695
Andorra,1985,AND,Europe & Central Asia,High income,44600,346737964.8,NA,NA,NA,NA,NA,7774.393829
Andorra,1986,AND,Europe & Central Asia,High income,46517,482000594,NA,NA,NA,NA,NA,10361.81598
Andorra,1960,AND,Europe & Central Asia,High income,13411,NA,NA,NA,NA,NA,NA,NA
Andorra,1961,AND,Europe & Central Asia,High income,14375,NA,NA,NA,NA,NA,NA,NA
Andorra,1962,AND,Europe & Central Asia,High income,15370,NA,NA,NA,NA,NA,NA,NA
Andorra,1963,AND,Europe & Central Asia,High income,16412,NA,NA,NA,NA,NA,NA,NA
Andorra,1964,AND,Europe & Central Asia,High income,17469,NA,NA,NA,NA,NA,NA,NA
Andorra,1965,AND,Europe & Central Asia,High income,18549,NA,NA,NA,NA,NA,NA,NA
Andorra,1980,AND,Europe & Central Asia,High income,36067,446416105.8,NA,NA,NA,NA,NA,12377.41165
Andorra,1967,AND,Europe & Central Asia,High income,20758,NA,NA,NA,NA,NA,NA,NA
Andorra,1968,AND,Europe & Central Asia,High income,21890,NA,NA,NA,NA,NA,NA,NA
Andorra,1969,AND,Europe & Central Asia,High income,23058,NA,NA,NA,NA,NA,NA,NA
Andorra,1970,AND,Europe & Central Asia,High income,24276,78619206.09,NA,NA,NA,NA,NA,3238.55685
Andorra,2010,AND,Europe & Central Asia,High income,84449,3449966857,NA,81,19545650,NA,NA,40852.66678
Andorra,2011,AND,Europe & Central Asia,High income,83747,3629203786,NA,81,18990187,NA,NA,43335.32886
Andorra,2012,AND,Europe & Central Asia,High income,82427,3188808943,NA,86.43442462,19714197,NA,NA,38686.46126
Andorra,2013,AND,Europe & Central Asia,High income,80774,3193704343,NA,94,21595662,NA,NA,39538.76672
Andorra,2014,AND,Europe & Central Asia,High income,79213,3271808157,NA,95.9,18015814,NA,NA,41303.92937
Andorra,2015,AND,Europe & Central Asia,High income,78011,2789870188,NA,96.91,17999514,NA,NA,35762.52307
Andorra,2016,AND,Europe & Central Asia,High income,77297,2896679212,NA,97.93063712,21706225,NA,NA,37474.66541
Andorra,2017,AND,Europe & Central Asia,High income,77001,3000180750,NA,91.56746703,24235417,NA,NA,38962.88035
Andorra,2018,AND,Europe & Central Asia,High income,77006,3218316013,NA,NA,33913480,NA,NA,41793.05526
Andorra,2019,AND,Europe & Central Asia,High income,77142,3154057987,NA,NA,NA,NA,NA,40886.39116
Andorra,2020,AND,Europe & Central Asia,High income,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1994,AND,Europe & Central Asia,High income,62677,1017549124,NA,0,NA,NA,NA,16234.80901
Andorra,1995,AND,Europe & Central Asia,High income,63850,1178738991,NA,0,NA,NA,NA,18461.06486
Andorra,1996,AND,Europe & Central Asia,High income,64360,1223945357,NA,1.526601023,NA,NA,NA,19017.17459
Andorra,1997,AND,Europe & Central Asia,High income,64327,1180597273,NA,3.050175385,NA,NA,NA,18353.05972
Andorra,1998,AND,Europe & Central Asia,High income,64142,1211932398,NA,6.886209218,NA,NA,NA,18894.5215
Andorra,1999,AND,Europe & Central Asia,High income,64370,1239876305,NA,7.635686143,NA,NA,NA,19261.7105
Andorra,2000,AND,Europe & Central Asia,High income,65390,1429049198,NA,10.53883561,NA,NA,NA,21854.2468
Andorra,2001,AND,Europe & Central Asia,High income,67341,1546926174,NA,NA,NA,NA,NA,22971.53554
Andorra,2002,AND,Europe & Central Asia,High income,70049,1755910032,NA,11.26046872,NA,NA,NA,25066.88221
Andorra,1990,AND,Europe & Central Asia,High income,54509,1029048482,NA,0,NA,NA,NA,18878.50597
Andorra,1991,AND,Europe & Central Asia,High income,56671,1106928583,NA,0,NA,NA,NA,19532.54015
